# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v3.2 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2018-12-12T00:00:00.0
# Date end (ISO 8601): 2018-12-18T00:00:00.0
# Latitude (positive North, ISO 19115): 49.0800
# Longitude (positive East, ISO 19115): 9.4600
# Altitude (m): 507.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2018-12-13T01:00:00.0/2018-12-13T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-13T02:00:00.0/2018-12-13T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-13T03:00:00.0/2018-12-13T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-13T04:00:00.0/2018-12-13T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-13T05:00:00.0/2018-12-13T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-13T06:00:00.0/2018-12-13T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-13T07:00:00.0/2018-12-13T08:00:00.0;53.2660;24.7664;14.0072;10.7592;210.6923;21.6101;6.9593;14.6509;128.1172;0.6833
2018-12-13T08:00:00.0/2018-12-13T09:00:00.0;213.8781;131.9293;96.9985;34.9308;624.3737;89.7752;13.8728;75.9025;78.6354;1.0000
2018-12-13T09:00:00.0/2018-12-13T10:00:00.0;337.1255;231.2677;184.6261;46.6416;767.1638;160.8786;76.3054;84.5732;307.6127;1.0000
2018-12-13T10:00:00.0/2018-12-13T11:00:00.0;408.9885;291.3915;238.9986;52.3930;820.5675;178.5547;68.4341;110.1206;234.8404;1.0000
2018-12-13T11:00:00.0/2018-12-13T12:00:00.0;424.5695;304.0687;249.9513;54.1174;826.8961;145.1518;25.7754;119.3764;85.0844;1.0000
2018-12-13T12:00:00.0/2018-12-13T13:00:00.0;382.8047;265.4759;210.0343;55.4416;769.1079;107.8573;9.8146;98.0427;34.8156;1.0000
2018-12-13T13:00:00.0/2018-12-13T14:00:00.0;286.5375;180.9707;128.8992;52.0714;624.9331;70.4806;2.1946;68.2860;10.4163;1.0000
2018-12-13T14:00:00.0/2018-12-13T15:00:00.0;142.3236;70.6307;38.0784;32.5523;337.5220;40.7993;0.1357;40.6636;0.9555;1.0000
2018-12-13T15:00:00.0/2018-12-13T16:00:00.0;8.5700;2.5294;0.4488;2.0806;12.6011;2.3995;0.0000;2.3995;0.0001;1.0000
2018-12-13T16:00:00.0/2018-12-13T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-13T17:00:00.0/2018-12-13T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-13T18:00:00.0/2018-12-13T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-13T19:00:00.0/2018-12-13T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-13T20:00:00.0/2018-12-13T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-13T21:00:00.0/2018-12-13T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-13T22:00:00.0/2018-12-13T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-13T23:00:00.0/2018-12-14T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-14T00:00:00.0/2018-12-14T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-14T01:00:00.0/2018-12-14T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-14T02:00:00.0/2018-12-14T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-14T03:00:00.0/2018-12-14T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-14T04:00:00.0/2018-12-14T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-14T05:00:00.0/2018-12-14T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-14T06:00:00.0/2018-12-14T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-12-14T07:00:00.0/2018-12-14T08:00:00.0;51.2157;21.4276;9.2204;12.2072;136.9672;5.9320;0.0000;5.9320;0.0000;0.7000
2018-12-14T08:00:00.0/2018-12-14T09:00:00.0;211.3934;122.0789;78.2502;43.8287;506.1833;21.0495;0.0000;25.7171;0.0000;1.0000
2018-12-14T09:00:00.0/2018-12-14T10:00:00.0;334.9919;220.2868;160.0387;60.2480;668.6094;39.9622;0.0000;54.3495;0.0000;1.0000
2018-12-14T10:00:00.0/2018-12-14T11:00:00.0;407.2737;281.2276;213.5583;67.6693;736.3359;60.7970;0.3734;65.6851;1.2400;1.0000
2018-12-14T11:00:00.0/2018-12-14T12:00:00.0;423.3127;295.0107;225.8245;69.1862;749.4540;71.5491;2.6974;68.8518;8.9538;1.0000
2018-12-14T12:00:00.0/2018-12-14T13:00:00.0;382.0144;259.5326;194.2153;65.3172;713.2766;75.4465;3.0445;72.4020;11.2361;1.0000
2018-12-14T13:00:00.0/2018-12-14T14:00:00.0;286.1902;179.6929;125.0320;54.6609;608.3453;63.5193;1.9617;61.5576;9.3603;1.0000
